name,subCategory,address,postalCode,phone,hours,description
223 @ Mountbatten,Active Ageing Centre,"223 Mountbatten Rd, Singapore 398008",398008,,,Type: Business center | Google Maps: https://maps.google.com/?cid=17401745139385435829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4S Active Ageing Centre@Eunos Crescent,Active Ageing Centre,"Blk 3 Eunos Cres, #01-2585, Singapore 400003",400003,+65 6742 1321,Monday: 8:00 AM – 6:00 PM; Tuesday: 8:00 AM – 6:00 PM; Wednesday: 8:00 AM – 6:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 6:00 PM; Saturday: 8:00 AM – 1:00 PM; Sunday: Closed,Type: Association / Organization | Website: http://www.4s.org.sg/
ABC Center Singapore @ Mountbatten 自闭症治疗中心,Active Ageing Centre,"Block D Mountbatten Centre Unit 01-03 to 01-05, Singapore 397999",397999,+65 8380 3297,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: School | Website: https://www.abccentersingapore.com/
ACE The Place Community Club,Active Ageing Centre,"120 Woodlands Ave 1, Singapore 739069",739069,+65 6891 3430,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,Type: Community center | Website: https://www.onepa.gov.sg/cc/ace-the-place-cc
AWWA Active Ageing Centre,Active Ageing Centre,"123 Ang Mo Kio Ave 6, Block 123, Singapore 560123",560123,+65 6511 6690,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,Type: Child care agency | Google Maps: https://maps.google.com/?cid=13998027472865064527&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
AWWA Rehab & Day Care Centre,Active Ageing Centre,"126 Ang Mo Kio Ave 3, #01-1929, Singapore 560126",560126,+65 6511 6790,Monday: 7:00 AM – 7:00 PM; Tuesday: 7:00 AM – 7:00 PM; Wednesday: 7:00 AM – 7:00 PM; Thursday: 7:00 AM – 7:00 PM; Friday: 7:00 AM – 7:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.awwa.org.sg/our-services/seniors/rehab-and-day-care-centre/
AWWA Senior Community Home,Active Ageing Centre,"123 Ang Mo Kio Ave 6, Singapore 560123",560123,+65 6511 6686,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 5:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,Type: Services | Website: https://www.awwa.org.sg/
Acacia Home,Active Ageing Centre,"30 Admiralty St, Singapore 757441",757441,+65 6254 6575,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,Type: Health | Website: http://www.4s.org.sg/
Active Ageing Centre (Chinatown),Active Ageing Centre,"8 Jln Kukoh, #04-35, Singapore 162008",162008,,,Type: Medical clinic | Google Maps: https://maps.google.com/?cid=1630715771995784404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Active Ageing Centre @ Bukit Batok East,Active Ageing Centre,"Blk 288D Bukit Batok Street 25, #01-40, Singapore 653288",653288,,,Type: Community center | Google Maps: https://maps.google.com/?cid=93492931829301576&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Active Ageing Centres (AAC),Active Ageing Centre,"108 Bukit Purmei Rd, #01-105, Singapore 090108",090108,+65 6250 0244,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 6:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: Closed; Sunday: Closed,Type: Consultant | Website: https://montfortcare.org.sg/services/seniors/
